Date,Amount,Description
2021-12-7,71840,'Enim veniam sit exercitation deserunt velit nostrud consectetur quis sint veniam magna.'
2021-12-7,51010,'Nostrud incididunt eiusmod labore duis commodo pariatur duis aliqua.'
2021-12-7,95950,'Eu mollit aliqua et quis labore velit id anim qui qui ut est velit do.'
2021-12-7,44010,'Commodo nisi commodo amet dolore velit eu consectetur deserunt dolor nulla id ex adipisicing sint.'
2021-12-7,848.3,'Fugiat officia fugiat.'
2021-12-7,20520,'Dolor magna ex do do.'
2021-12-7,78120,'Excepteur labore ullamco consequat proident consequat ea ad quis duis.'
2021-12-7,1510,'Ex sint elit pariatur et et culpa culpa est qui labore elit.'
2021-12-8,86430,'Tempor eu sit excepteur aliqua aute consectetur.'
2021-12-8,91140,'Consectetur nostrud cupidatat sunt sit cupidatat ex ut.'
2021-12-8,53560,'Occaecat enim amet fugiat ipsum adipisicing id.'
2021-12-8,3870,'Amet commodo ea veniam.'
2021-12-8,28710,'Tempor mollit quis nulla sint est nostrud consectetur deserunt culpa minim do in cillum enim.'
2021-12-8,19000,'Duis ea irure velit est voluptate officia velit eu occaecat et dolor aliquip laboris tempor.'
2021-12-10,87690,'Excepteur do lab, rum occaecat id dolor do ea.'
2021-12-10,704.5,'Ad velit dolor duis aliquip veniam do.'
2021-12-10,47740,'Ex in duis et velit aute laboris eu aute ad.'
2021-12-10,70500,'Magna tempor sint tempor reprehenderit culpa velit deserunt.'
2021-12-10,8240,'Esse adipisicing id magna Lorem voluptate aliquip.'
2021-12-10,54960,'Tempor non id pariatur id est veniam cupidatat cillum culpa anim laborum duis officia.'
2021-12-10,97120,'Commodo labore ut dolore veniam adipisicing consequat.'
2021-12-11,59280,'Elit nostrud excepteur nisi nulla elit consequat laboris incididunt sunt in est.'
2021-12-11,46690,'Labore fugiat excepteur sunt.'
2021-12-11,46330,'Adipisicing ex officia elit adipisicing irure tempor est minim dolore fugiat aliqua elit eiusmod.'
2021-12-11,92330,'Con, ectetur esse id do voluptate amet reprehenderit proident excepteur ex eu pariatur cillum consectetur eiusmod.'
2021-12-11,24120,'Non cupidatat aliquip sunt ex id.'
2021-12-12,45810,'Veniam veniam laborum id esse reprehenderit ad est dolore labore proident.'
2021-12-12,76070,'Ad consequat culpa consectetur esse cupidatat officia adipisicing anim aliqua ut ex.'
2021-12-12,45210,'Irure ea esse culpa aliquip do non consectetur duis.'
2021-12-12,54160,'Qui do ad officia fugiat voluptate non ex fugiat sit cupidatat.'
2021-12-12,28430,'Cillum mollit laborum occaecat laborum irure.'
2021-12-12,26690,'Proident nostrud veniam enim aute deserunt incididunt velit excepteur excepteur nulla minim do Lorem.'
2021-12-12,688.8,'Ullamco nostrud tempor amet ullamco.'
2021-12-13,30430,'Elit elit veniam occaecat sint aliqua.'
2021-12-13,51610,'In exercitation mollit ullamco duis sit eiusmod voluptate officia elit exercitation minim officia non aliqua.'
2021-12-13,50100,'Sint mollit sint et excepteur non enim aliqua excepteur aliquip commodo dolore.'
2021-12-13,17910,'Ex eu irure proident nisi laborum anim nostrud amet voluptate.'
2021-12-13,54830,'Quis laborum cupidatat occaecat nostrud est dolore labore esse fugiat.'
2021-12-13,45700,'Tempor nisi irure aute id, reprehenderit anim.'
2021-12-13,113.8,'Nulla exercitation exercitation pariatur id id est elit.'
2021-12-13,46190,'Occaecat excepteur dolore aliqua occaecat veniam consectetur eiusmod cillum.'
2021-12-13,18440,'Qui commodo fugiat labore occaecat mollit veniam.'
2021-12-13,32550,'Voluptate esse in qui non non amet sit.'
2021-12-13,25840,'Consequat commodo sunt.'
2021-12-13,66360,'Mollit consequat fugiat laborum non deserunt esse aute sit nisi.'
2021-12-13,56110,'Consequat sint laborum magna r, prehenderit occaecat sint id fugiat deserunt culpa irure eu magna minim.'
2021-12-13,922.5,'Aute commodo culpa est deserunt amet ad.'
2021-12-13,19220,'Ex id ipsum qui minim duis ex , illum cillum.'
2021-12-13,27.9,'Cupidatat labore dolore amet sint duis laborum amet cupidatat.'
2021-12-13,41200,'Tempor et adipisicing eu eiusmod esse.'
2021-12-13,68090,'Proident sint nostrud laboris tempor reprehenderit cillum mollit quis quis adipisicing elit.'
2021-12-13,96340,'Ipsum qui voluptate sit sunt consequat deserunt aliqua occaecat minim officia exercitation cupidatat reprehenderit.'
2021-12-13,745,'Eu duis consectetur nisi, '
2021-12-13,23.9,'Ut anim officia quis eu commodo amet esse et reprehenderit incididunt fugiat eu ad.'
2021-12-13,56410,'Ea duis aliqua laboris consequat minim cupidatat amet aliqua adipisicing.'
2021-12-13,66130,'Exercitation nisi veniam Lorem magna veniam ullamco qui Lorem elit laborum.'
2021-12-13,33470,'Eu nulla nulla tempor proident magna minim quis ipsum deserunt velit excepteur consequat in qui.'
2021-12-15,38420,'Nostrud ullamco esse.'
2021-12-16,71490,'Ullamco reprehenderit voluptate ea culpa proident enim cillum aute do ea esse sint incididunt.'
2021-12-16,97750,'Officia qui sunt exercitation esse enim adipisicing eu ullamco Lorem occaecat non.'
2021-12-16,79420,'Tempor sint esse ea culpa.'
2021-12-16,38840,'Commodo reprehenderit commodo enim eiusmod ips, m aute occaecat nisi laboris adipisicing exercitation.'
2021-12-16,22640,'Irure consequat sunt nostrud tempor nisi deserunt veniam excepteur aliqua magna.'
2021-12-16,87560,'Velit officia fugiat pariatur ullamco minim aliqua quis, anim.'
2021-12-16,54080,'Amet aliquip labore.'
2021-12-16,44790,'Cillum excepteur minim.'
2021-12-16,63540,'Nostrud qui commodo ut irure.'
2021-12-16,31780,'Eiusmod culpa consectetur nulla incididunt quis adipisicing reprehenderit laborum.'
2021-12-16,19430,'Amet est qui laborum consectetur laborum laboris nulla labore cillum.'
2021-12-16,13180,'Qui eu adipisicing nostrud, '
2021-12-16,4680,'Elit veniam irure aliqua commodo pariatur incididunt quis ut sunt ea qui adipisicing velit.'
2021-12-17,68450,'Id minim do elit incididunt in culpa.'
2021-12-17,47360,'Voluptate occaecat nisi nostrud.'
2021-12-17,79520,'Eu amet do labore veniam eu deserunt do proident est ut veniam sunt.'
2021-12-17,400,'Duis aliqua elit anim laboris ea cillum pariatur.'
2021-12-17,54980,'Excepteur amet est cillum magna laborum.'
2021-12-17,8230,'Ut reprehenderit officia mollit culpa officia Lorem ad veniam elit mollit fugiat occaecat.'
2021-12-17,4310,'Eiusmod cupidatat sint nostrud sunt veniam occaecat cupidatat enim quis.'
2021-12-17,918.3,'Dolore veniam minim labore sunt et ut cupidatat duis minim labore veniam exercitation sint qui.'
2021-12-17,42470,'Magna culpa minim exercitation.'
2021-12-17,78300,'Proident adipisicing cillum laboris ad exercitation amet exercitation tempor irure.'
2021-12-17,528.9,'Commodo culpa laborum qui.'
2021-12-17,89060,'Id incididunt dolore amet esse ea id proident et.'
2021-12-17,31460,'Pariatur qui dolor est Lorem mollit labore magna in proident culpa anim dolore.'
2021-12-17,65360,'Aliqua consequat reprehenderit sit esse adipisicing magna.'
2021-12-17,94830,'Anim in proident enim irure sint.'
2021-12-17,70570,'Officia sit dolore nulla sunt eu irure qui labore esse eiusmod adipisicing do non.'
2021-12-17,79230,'Culpa ut aliqua eiusmod consectetur nulla officia id mollit elit do Lorem sint , oluptate.'
2021-12-17,14010,'Nisi ipsum in pariatur.'
2021-12-17,13480,'Esse aliqua deserunt minim labore.'
2021-12-17,81740,'Aute excepteur pariatur pariatur reprehenderit voluptate excepteur ullamco duis consectetur veniam voluptate dolor consectetur reprehenderit.'
2021-12-19,901.6,'Labore occaecat do tempor sint anim ea eiusmod ut sunt minim.'
2021-12-20,84980,'Ad non enim mollit sunt pariatur proident.'
2021-12-20,99030,'Officia adipisicing reprehenderit.'
2021-12-20,66190,'Aliquip nisi est proident nisi minim occaecat.'
2021-12-20,14050,'Nostrud pariatur labore laboris do.'
2021-12-20,27710,'Minim officia qui sint ut id.'
2021-12-20,61000,'Ullamco aute officia.'
2021-12-20,33940,'Labore qui sunt deserunt mollit.'
2021-12-20,92070,'Pariatur ad dolore ex esse incididunt proident sint sunt est ipsum ex ut nulla proident.'
2021-12-20,69070,'Velit esse nostrud ut excepteur nostrud et pariatur laboris excepteur qui eu.'
2021-12-20,76920,'Qui cupidatat consectetur tempor consequat dolor consequat enim duis laboris aliquip aliquip anim labore.'
2021-12-20,13760,'Officia anim ad voluptate culpa cupidatat esse proident.'
2021-12-20,32670,'Dolore esse velit do velit deserunt esse consequat voluptate.'
2021-12-20,27250,'Nostrud in quis pariatur veniam sit qui qui aute est cupidatat.'
2021-12-20,20250,'Veniam sit ea exercitation eiusmod qui minim commodo nostrud voluptate ea ex nisi quis elit.'
2021-12-20,67160,'Tempor et nisi adipisicing aute consequat et aliqua irure.'
2021-12-20,49900,'Reprehenderit eu magna ad dolor ipsum laborum labore anim incididunt culpa amet.'
2021-12-20,8980,'Laborum aliqua dolor cupidatat voluptate consectetur aliquip.'
2021-12-20,99180,'Reprehenderit fugiat aliquip quis sunt pariatur Lorem dolor aliqua exercitation sit cillum Lorem nulla sunt.'
2021-12-21,31050,'Velit sint culpa.'
2021-12-21,79390,'Fugiat laboris labore nostrud Lorem aliquip dolor cillum aliquip minim laborum aliqua cupidatat Lorem.'
2021-12-22,450,'Ex aliqua sunt ipsum ad incididunt est et labore tempor et irure ad.'
2021-12-22,90410,'Veniam fugiat exercitation.'
2021-12-22,928.4,'Exercitation occaecat id tempor officia consequat id dolore quis esse ex ullamco elit fugiat exercitation.'
2021-12-22,64950,'Laborum velit ut mollit pariatur laboris eiusmod laboris dolor sunt minim.'
2021-12-22,94450,'Culpa reprehenderit consectetur consequat enim irure nostrud magna et non veniam ex.'
2021-12-22,70260,'Irure dolor mollit ut nostrud magna cillum cillum minim adipisicing dolore laboris occaecat non sit.'
2021-12-22,73420,'In mollit id dolore dolor laborum do laboris nisi fugiat ex et anim.'
2021-12-23,92910,'Mollit enim tempor exercitation dolore proident qui amet qui aliqua tempor pariatur ad.'
2021-12-23,25610,'Esse elit ex labore anim consequat esse sunt cillum do ullamco quis.'
2021-12-23,924.4,'Cupidatat amet minim adipisicing eiusmod nisi officia cupidatat consequat excepteur qui ut ipsum.'
2021-12-23,91830,'Est sit officia anim ex nostrud eu consectetur.'
2021-12-23,28960,'Amet proident esse irure eu qui.'
2021-12-23,75390,'Voluptate ad esse et laboris commodo excepteur esse id mollit adipisicing.'
2021-12-23,18840,'Velit elit aute ex veniam ipsum nulla ad exercitation duis ex.'
2021-12-23,12460,'Nisi amet laboris irure veniam exercitation sint dolor quis aute occaecat aliquip duis ad irure.'
2021-12-23,1.8,'Eiusmod aliquip consequat occaecat ut voluptate ullamco minim amet.'
2021-12-23,97500,'Qui labore aute ullamco est nostrud elit commodo culpa amet voluptate occaecat quis dolore.'
2021-12-23,75840,'Et consequat adipisicing Lorem quis ullamco ad laboris sit non.'
2021-12-25,34850,'Proident ex magna commodo enim culpa.'
2021-12-25,49940,'Sit do eu magna dolor id Lorem labore.'
2021-12-25,95960,'Oc, aecat dolore incididunt culpa Lorem ad deserunt fugiat incididunt dolore dolor labore sit.'
2021-12-25,69280,'Aliquip ullamco cupidatat sint ipsum ipsum amet culpa.'
2021-12-25,59800,'Id sit id et dolor.'
2021-12-25,27890,'Eu magna aliquip proident.'
2021-12-25,3140,'Exercitation excepteur incididunt irure aliqua consectetur excepteur eu elit incididunt consectetur cupidatat culpa id pariatur.'
2021-12-25,74030,'Aliqua mollit irure fugiat deserunt ipsum nisi.'
2021-12-25,91320,'In officia aliqua nostrud proident tempor quis duis tempor commodo proident laborum duis cupidatat, culpa.'
2021-12-25,80050,'Proident laboris sit non sit amet eiusmod fugiat ad fugiat ea deserunt fugiat sunt dolor.'
2021-12-25,470,'Excepteur consequat velit incididunt velit sint incididunt id non.'
2021-12-25,57590,'Qui cillum aliqua pariatur.'
2021-12-25,67800,'Et ex voluptate.'
2021-12-25,69060,'Lorem sunt aliquip officia.'
2021-12-25,71340,'Ipsum consequat ipsum id labore deserunt proident commodo esse amet dolor elit irure tempor.'
2021-12-25,68820,', ulpa non quis sunt id ut.'
2021-12-25,32360,'Nulla Lorem nulla minim velit do occaecat duis aliquip do occaecat duis sit do dolore.'
2021-12-25,41590,'Mollit id ipsum nulla.'
2021-12-25,16060,'Excepteur anim nulla amet in anim cupidatat quis mollit magna.'
2021-12-25,36670,'Pariatur officia laborum labore deserunt voluptate proident Lorem deserunt anim.'
2021-12-25,99980,'Duis dolor labore.'
2021-12-26,78900,'Lorem aute exercitation aute mollit velit ut anim sunt.'
2021-12-26,39980,'In cupidatat ex et velit aliqua elit dolore adipisicing pariatur officia nulla commodo aute aute.'
2021-12-26,18970,'Id ipsum aliquip aliqua ad do magna ullamco irure sint duis eu ex do dolor.'
2021-12-26,30420,'Cupidatat aliqua id nisi cupidatat enim voluptate dolor aliqua pariatur laboris.'
2021-12-26,52010,'Ex tempor minim sit ea anim non irure excepteur sit deserunt quis.'
2021-12-26,52320,'Quis cupidatat officia sit officia tempor magna consectetur.'
2021-12-26,55970,'Laboris excepteur ullamco officia duis eu nulla et exercitation amet do dolore commodo dolor et.'
2021-12-26,84640,'Mollit fugi, t irure sint quis.'
2021-12-26,54960,'Nostrud officia elit dolore cupidatat.'
2021-12-26,3040,'Voluptate Lorem deserunt est.'
2021-12-26,33920,'Non consequat amet aute sunt elit aliquip excepteur amet pariatur.'
2021-12-26,87680,'Dolore mollit aute mollit cillum consequat dolor do ad consequat amet fugiat.'
2021-12-26,9240,'Consequat eiusmod pariatur ullamco ea voluptate nostrud aliqua voluptate.'
2021-12-26,85810,'Adipisicing Lorem anim tempor cupidatat occaecat deserunt veniam id duis.'
2021-12-27,64940,'Magna do enim est qui occaecat enim consequat nisi ex officia.'
2021-12-27,17370,'S, nt sunt occaecat ad non reprehenderit do consequat.'
2021-12-27,8830,'Sit culpa excepteur laborum.'
2021-12-28,99800,'Velit veniam reprehenderit irure anim nostrud reprehenderit aute enim.'
2021-12-30,27090,'Et Lorem fugiat quis Lorem voluptate voluptate.'
2021-12-30,873.1,'Elit sunt aute officia esse.'
2021-12-30,70080,'Duis enim in ex sunt proident amet nostrud nostrud.'
2021-12-30,177.6,'Laboris aliqua ipsum mollit.'
2021-12-30,66350,'Irure nulla aliquip fugiat cillum enim dolor ad tempor Lorem ea consectetur consectetur anim.'
2021-12-30,224.7,'Lorem incididunt sint anim.'
2021-12-30,71780,'Deserunt excepteur nostrud ut laboris labore duis nulla minim eu.'
2021-12-31,25380,'Mollit do nulla commodo.'
2021-12-31,64750,'Ipsum commodo aliquip nisi velit.'
2021-12-31,79360,'Eiusmod qui eiusmod est pariatur fugiat culpa nostrud excepteur dolor.'
2021-12-31,10840,'Nisi cupidatat duis amet proident magna dolore culpa minim veniam exercitation velit quis.'
2021-12-31,50960,'Lorem cillum laboris.'
2021-12-31,21780,'Eiusmod velit sint laboris ad.'
2022-1-1,52030,'Duis cillum ut commodo duis do sint sint duis velit.'
2022-1-1,979.5,'Laboris labore aute eu sunt ullamco tempor.'
2022-1-1,39590,'Laboris cupidatat est Lorem est eiusmod et occaecat laborum culpa.'
2022-1-2,71900,'Non elit ea irure in culpa.'
2022-1-2,85050,'Non enim eiusmod ut culpa duis consequat dolor.'
2022-1-2,46970,'Anim mollit consequat adipisicing Lorem quis adipisicing.'
2022-1-2,96030,'Laboris qui irure consequat aliquip duis laboris nostrud officia voluptate cillum proident pariatur.'
2022-1-2,54970,'Ex deserunt reprehenderit ipsum labore anim.'
2022-1-2,83100,'Officia et magna officia sint culpa officia elit labore esse pariatur eu elit consectetur incididunt.'
2022-1-3,21220,'Do pariatur non.'
2022-1-4,69460,'Cillum pariatur anim cupidatat exercitation ex incididunt consequat pariatur sit.'
2022-1-4,9010,'Cupidatat incididunt et aliquip aliqua Lorem cupidatat eu eiusmod reprehenderit cupidatat commodo.'
