Date,Amount,Description
2022-1-10,96270,'Excepteur cillum magna fugiat.'
2022-1-10,35530,'Nisi qui qui ad dolore voluptate magna ipsum q, i ullamco velit sit ullamco est nulla.'
2022-1-10,32280,'Lorem est eiusmod ad duis qui aliqua proident consequat sit excepteur proident consectetur Lorem.'
2022-1-10,69050,'Amet dolor voluptate laborum nostrud aliquip commodo amet laboris ad id Lorem labore aliqua commodo.'
2022-1-10,85730,'Excepteur ea nulla consectetur id.'
2022-1-10,14850,'Consectetur commodo exercitation officia aliqua ea veniam tempor dolor.'
2022-1-10,59020,'Laboris elit amet reprehenderit ad sit.'
2022-1-10,49160,'Tempor sint fugiat laborum occaecat.'
2022-1-10,25020,'Ea occaecat irure.'
2022-1-10,85230,'Culpa occaecat anim officia fugiat si,  nisi amet occaecat occaecat sunt laborum.'
2022-1-10,49470,'Cupidatat sunt aliquip aliquip pariatur culpa.'
2022-1-10,27540,'Aliquip ad laboris.'
2022-1-10,88500,'Consectetur proident anim ex laboris Lorem sint.'
2022-1-10,33560,'Nisi sint esse veniam velit nulla ea voluptate sit sint commodo nostrud consequat.'
2022-1-10,54370,'Esse fugiat qui sit ex exercitation do ut laborum anim cillum occaecat labore ea.'
2022-1-10,83300,'Consequat aute do cupidatat nulla incididunt cupidatat enim deserunt id anim aliquip adipisicing.'
2022-1-10,94.5,'Officia tempor consectetur do laborum sunt amet ipsum dolore et ex exercitation incididunt.'
2022-1-10,75120,'Excepteur enim ut aute veniam officia nisi id exercitation officia amet Lorem mollit est.'
2022-1-10,633.8,'Voluptate adipisicing reprehenderit minim veniam amet duis incididunt non occaecat.'
2022-1-10,91510,'Cillum anim commodo aliquip sunt ad commodo officia sunt et anim deserunt aliquip.'
2022-1-10,89320,'Irure ullamco occaecat non eiusmod.'
2022-1-10,995.8,'Velit cupidatat cillum laboris mollit.'
2022-1-10,734.5,'Sit occaecat culpa anim exercitation culpa esse ut duis.'
2022-1-10,30600,'Reprehenderit occaecat laboris ipsum id nisi exercitation.'
2022-1-10,5550,'Est fugiat do.'
2022-1-10,216.3,'Quis aliquip tempor eu aliquip dolore occaecat labore amet sunt.'
2022-1-10,84150,'Sit adipisicing eiusmod adipisicing non ut et velit minim sunt dolore.'
2022-1-10,88860,'Officia proident excepteur cupidatat commodo nostrud id commodo.'
2022-1-10,24540,'Non qui cupidatat magna nulla.'
2022-1-10,41310,'Deserunt cillum commodo ad amet veniam ea nulla aliquip reprehenderit qui.'
2022-1-10,79230,'Esse voluptate occaecat mollit non cupidatat non excepteur reprehenderit amet.'
2022-1-10,65730,'Magna et enim enim sunt pariatur aliqua ex qui tempor deserunt.'
2022-1-10,85240,'Ex laboris Lorem sunt ut proident in sit amet velit esse tempor dolor amet.'
2022-1-10,44890,'Officia nisi eu eiusmod ea duis fugiat.'
2022-1-10,56670,'Deserunt nostrud ex esse ea veniam aliquip velit dolor consequat magna amet veniam reprehenderit.'
2022-1-10,46230,'Consequat Lorem id.'
2022-1-10,33800,'Labore mollit est nulla anim ipsum eu.'
2022-1-10,58860,'Pariatur consectetur irure est nisi non consequat eu nostrud.'
2022-1-10,570,'Occaecat incididunt irure.'
2022-1-12,9510,'Consectetur Lorem labore exercitation enim sint magna.'
2022-1-12,95770,'Do consequ, t anim magna anim.'
2022-1-12,48360,'Exercitation aliquip aute ex esse duis eu.'
2022-1-12,78060,'Ipsum pariatur reprehenderit ut dolore nulla do sint qui ut.'
2022-1-12,35560,'Consectetur elit ipsum ea.'
2022-1-12,11680,'Qui eiusmod sit ex deserunt aliquip velit nostrud.'
2022-1-12,44170,'Reprehenderit culpa commodo consequat aute dolore commodo dolor consectetur.'
2022-1-12,95220,'Dolor laborum quis eu dolor aliqua in nulla pariatur ea.'
2022-1-12,3380,'Nisi qui laboris laboris mollit consectetur consectetur velit consequat elit ullamco esse tempor.'
2022-1-12,8120,'Cillum officia consequat aliquip est irure quis id sint reprehenderit.'
2022-1-13,80090,'Sit consequat ullamco reprehenderit aliqua proident est eiusmod cillum in.'
2022-1-13,9400,'Qui in est culpa non.'
2022-1-13,50060,'Aliquip adipisicing pariatur consequat commodo amet anim.'
2022-1-13,23990,'Deserunt ad sit nulla.'
2022-1-15,20720,'Fugiat aliqua nisi est eu esse ullamco deserunt ullamco officia anim.'
2022-1-15,82930,'Duis id quis tempor excepteur.'
2022-1-15,93450,'Non cillum pariatur et ipsum incididunt ipsum eiusmod officia cillum repreh, nderit sit mollit.'
2022-1-15,62450,'Laboris dui,  et ullamco sint irure enim proident sit.'
2022-1-15,94650,'Veniam veniam adipisicing ea sit eu in.'
2022-1-15,8610,'Enim deserunt consectetur nisi laboris amet esse fugiat anim.'
2022-1-15,784.7,'Fugiat exercitation labore est magna sit aliqua incididunt irure Lorem dolore.'
2022-1-15,45730,'Enim id sint elit do quis elit.'
2022-1-15,18040,'Ea commodo dolore fugiat sint non ea sint proident qui.'
2022-1-15,56880,'Veniam deserunt Lorem consectetur nisi magna dolor laborum incididunt.'
2022-1-17,88030,'Sunt Lorem consequat irure aliquip dolor qui do cillum pariatur eu.'
2022-1-17,40900,'Id ullamco eiusmod aute.'
2022-1-18,72910,'Enim voluptate eiusmod magna Lorem consectetur nostrud adipisicing nostrud excepteur nostrud fugiat consectetur laborum non.'
2022-1-18,63680,'Commodo Lorem nulla culpa nostrud voluptate consectetur aliquip enim voluptate.'
2022-1-20,91500,'Laborum cillum ullamco id voluptate dolor tempor Lorem exercitation eiusmod consectetur.'
2022-1-20,384.7,'Cupidatat ullamco voluptate laboris aliqua consequat commodo ea cillum deserunt consequat non anim in.'
2022-1-20,18060,'Adipisicing incididunt aliqua non id enim.'
2022-1-20,78970,'Eiusmod commodo commodo mollit aute.'
2022-1-21,12450,'In reprehenderit in ipsum quis.'
2022-1-23,29480,'Aliquip anim reprehenderit quis non esse deserunt eiusmod.'
2022-1-23,27950,'Tempor dolore laboris duis do laborum aute sint esse.'
2022-1-23,62710,'Id qui occaecat ex deserunt et qui ut Lorem voluptate ipsum labore excepteur.'
2022-1-23,20970,'Irure labore pariatur nostrud cillum esse nostrud irure id irure aliqua ipsum.'
2022-1-23,19860,'Ad esse voluptate cillum dolore enim qui.'
2022-1-23,13120,'Nulla ipsum dolor amet culpa commodo duis aute ea fugiat irure aute.'
2022-1-23,9090,'Ea incididunt non nulla occaecat officia consequat Lorem veniam ex ea eu.'
2022-1-23,83470,'Lorem do enim ea excepteur consequat pariatur non duis ad laborum est.'
2022-1-23,8010,'Duis elit ullamco culpa nisi et ut excepteur.'
2022-1-23,67960,'Reprehenderit quis sunt veniam aute duis adipisicing nostrud.'
2022-1-23,91300,'Dolor exercitation incididunt tempor dolor eu ad eiusmod consectetur officia aliqua ea.'
2022-1-23,6.5,'Dolore consequat tempor.'
2022-1-23,72630,'Minim duis cupidatat nostrud labore eu voluptate adipisicing tempor duis.'
2022-1-23,61820,'Nostrud officia consequat exercitation sit reprehenderit consectetur eu.'
2022-1-23,54650,'Aliquip eu eu do et in.'
2022-1-23,99900,'Sit dolor fugiat duis.'
2022-1-23,69960,'Aliqua enim ex est pariatur sit cillum veniam sint nisi minim.'
2022-1-23,22460,'Excepteur dolore enim mollit ipsum officia non incididunt quis elit nulla.'
2022-1-23,19120,'Exercitation cupidatat sit.'
2022-1-23,29970,'Enim ullamco labore ea sit ea enim labore deserunt in commodo amet occaecat voluptate.'
2022-1-23,19980,'Culpa laborum ullamco est non consectetur exercitation reprehenderit nostrud officia.'
2022-1-23,33720,'Occaecat fugiat sit esse sunt deserunt fugiat amet voluptate labore deserunt ad excepteur adipisicing.'
2022-1-23,49580,'Aute mollit cupidatat pariatur ullamco.'
2022-1-23,275.2,'Au, e consequat ut ullamco elit adipisicing commodo cillum deserunt.'
2022-1-23,123.8,'Mollit ut qui Lorem esse excepteur minim duis deserunt sit.'
2022-1-23,92190,'Ex tempor aute do, ore.'
2022-1-23,72080,'Aliquip occaecat do consectetur ad labore velit deserunt laborum deserunt culpa exercitation laboris eu Lorem.'
2022-1-24,45230,'Qui laboris esse officia id voluptate pariatur do consequat.'
2022-1-24,72410,'Reprehenderit aute ullamco.'
2022-1-24,77330,'Dolor aute ut non.'
2022-1-24,33820,'Et exercitation ullamco in.'
2022-1-24,454,'Est labore qui eu velit pariatur in adipisicing anim incididunt cillum ea.'
2022-1-24,74030,'Eu eu ad sunt labore mollit exercitation occaecat adipisicing anim amet reprehenderit eiusmod.'
2022-1-24,19990,'Mollit aliqua Lorem cillum veniam mollit dolore deserunt.'
2022-1-24,82090,'Pariatur est reprehenderit velit commodo.'
2022-1-24,58170,'Voluptate veniam id est.'
2022-1-24,58190,'Minim aliqua enim qui occaecat irure reprehenderit quis anim et duis adipisicing dolore pariatur.'
2022-1-24,72420,'Fugiat minim excepteur non elit adipisicing sunt ad qui nostrud ea dolore esse.'
2022-1-24,229.5,'Excepteur nulla ex quis laborum sint irure proident consequat magna commodo do laboris.'
2022-1-24,7210,'Ad ullamco ullamco sint ut aute mollit proident anim id pariatur sunt occaecat nisi.'
2022-1-24,27150,'Id veniam ad laborum nisi.'
2022-1-24,1910,'Commodo veniam aliquip mollit et labore enim eu culpa id aliquip proident laboris aliquip.'
2022-1-24,43660,'Sit consequat dolore esse exercitation minim fugiat consectetur ea.'
2022-1-24,62900,'Cupidatat quis mollit nostrud exercitation sunt anim cupidatat cillum aliquip voluptate.'
2022-1-24,67220,'Et consectetur fugiat pariatur occaecat aliqua.'
2022-1-24,30320,'Reprehenderit anim laboris officia cupidatat.'
2022-1-24,10580,'Fugiat sit nulla est veniam sint , t aliqua laboris.'
2022-1-26,83800,'Eu incididunt enim ut eiusmod ipsum tempor cupidatat fugiat.'
2022-1-26,11060,'Occaecat cupidatat cillum magna.'
2022-1-26,29960,'Proident duis laborum.'
2022-1-26,45730,'Anim, ex deserunt aliquip eu laboris sit mollit deserunt.'
2022-1-26,81160,'In labore cupidatat voluptate sit laboris commodo ipsum.'
2022-1-26,2510,'Id labore occaecat nulla cillum deserunt pariatur ex officia voluptate.'
2022-1-26,30410,'Fugiat non nisi voluptate est culpa do eu Lorem occaecat.'
2022-1-26,14050,'Culpa sunt id dolor fugiat sint voluptate.'
2022-1-26,76880,'Amet commodo proident ea adipisicing non dolor reprehenderit in labore sint aliquip deserunt incididunt.'
2022-1-26,56590,'Esse cillum aute commodo.'
2022-1-26,41880,'Quis mollit ex id veniam qui nulla.'
2022-1-26,1710,'Aliquip minim reprehenderit nulla ut pariatur cupidatat consectetur magna consequat ad.'
2022-1-27,70390,'Labore Lorem dolor proident laborum esse.'
2022-1-27,91500,'Tempor Lorem nulla labore esse veniam ea.'
2022-1-27,12060,'Ex aute est Lorem est sunt magna velit anim excepteur elit cillum sit ad ad.'
2022-1-27,50070,'Aute mollit ut.'
2022-1-27,5830,'Nostrud dolor ea cillum.'
2022-1-28,87270,'Nisi magna labore dolore voluptate ex culpa duis enim exercitation nostrud laboris est dolore.'
2022-1-28,59380,'Adipisicing deserunt veniam mollit fugiat esse do reprehenderit consectetur deserunt.'
2022-1-28,3390,'Occaecat veniam eu aliqua labore in ipsum eu sit.'
2022-1-28,21130,'Irure ea dolor magna anim ut velit esse laborum adipisicing proident ut laboris.'
2022-1-28,18610,'Eu occaecat est in dolor pariatur sunt mollit non aliquip nostrud.'
2022-1-28,22670,'Duis in aute nisi veniam tempor adipisicing reprehenderit labore.'
2022-1-28,91790,'Et sint laboris proident quis qui excepteur dolor.'
2022-1-28,57680,'Ex consectetur cillum magna et deserunt sunt nisi dolor nostrud.'
2022-1-28,77780,'Ullamco id commodo duis esse sint non anim ipsum anim id.'
2022-1-28,79180,'Deserunt officia exercitation duis exercitation eiusmod qui Lorem Lorem in ut aute consequat tempor Lorem.'
2022-1-28,121.1,'Lorem mollit ad pariatur laborum fugiat nisi ea laborum nisi ad id magna duis sunt.'
2022-1-28,99310,'Ipsum voluptate elit cillum pariatur nisi.'
2022-1-28,44800,'Dolor adipisicing sint aute laborum duis aliqua dolor mollit exercitation esse Lorem ea proident sunt.'
2022-1-28,62750,'Sit ex velit ad id velit sunt dolor.'
2022-1-28,96420,'Eu eu culpa.'
2022-1-29,41160,'Consequat duis , xcepteur velit duis incididunt veniam quis et do.'
2022-1-29,70610,'Officia minim esse occaecat commodo eiusmod ad non cillum.'
2022-1-29,83640,'Amet excepteur non ullamco ut voluptate exercitation.'
2022-1-29,31200,'Nostrud veniam cupidatat dolore dolor fu, iat ipsum veniam do aliqua.'
2022-1-29,26190,'Duis commodo proident et ipsum excepteur minim deserunt esse incididunt tempor et in aliqua.'
2022-1-29,70420,'Nisi anim non.'
2022-1-29,94580,'Anim labore occaecat aliquip ipsum est labore sunt enim pariatur magna.'
2022-1-29,23550,'In incididunt ex velit culpa fugiat.'
2022-1-29,64790,'Culpa consectetur magna ipsum al, qua aliquip enim reprehenderit magna ex.'
2022-1-30,30570,'Et nulla dolore culpa duis officia consectetur culpa consequat.'
2022-1-30,12690,'Aliquip deserunt aute aute est.'
2022-1-30,10990,'Elit eiusmod nisi id tempor ea consequat commodo consequat reprehenderit nulla labore dolore duis.'
2022-1-30,46230,'Nostrud duis ea Lorem consectetur elit nisi nulla mollit laboris tempo,  commodo.'
2022-1-30,24400,'Ut ut reprehenderit veniam nisi anim eu id nulla.'
2022-1-30,443.3,'Eu Lorem proident commodo Lorem.'
2022-1-30,32350,'Ad esse sit non aliquip ipsum nostrud id ex pariatur voluptate consectetur voluptate.'
2022-1-30,49320,'Consequat ea veniam quis.'
2022-1-30,523.2,'Ex excepteur amet quis anim ea cupidatat irure magna.'
2022-1-30,85590,'Ex qui tempor anim irure commodo in anim esse velit voluptate adipisicing anim.'
2022-1-30,66860,'Sit voluptate elit velit officia occaecat eiusmod consequat sit ea sint sit excepteur duis nulla.'
2022-1-30,47500,'Ex dolore ullamco tempor proident.'
2022-1-30,94090,'Culpa ipsum sint aute adipisicing ex.'
2022-1-30,634.7,'Aliqua nulla dolore cupidatat qui.'
